2011 SM173,2058-2089,5,7.0e-05,14.24,27.8,0.009,-5.42,-5.45,0
2000 LG6,2075-2111,31,8.7e-04,2.11,29.0,0.005,-5.44,-5.90,0
2006 XP4,2107-2107,4,3.3e-06,5.78,23.9,0.055,-5.44,-5.50,0
2008 YO2,2021-2109,46,4.9e-06,16.40,25.2,0.031,-5.44,-6.00,0
2012 TC4,2020-2112,57,2.3e-05,6.50,26.7,0.015,-5.44,-6.34,0
2007 VH189,2017-2046,6,2.0e-07,18.14,23.4,0.072,-5.44,-5.72,0
2009 FJ,2058-2094,4,3.6e-06,8.94,24.9,0.036,-5.47,-5.52,0
2012 BY1,2043-2074,7,4.3e-06,18.18,25.8,0.024,-5.48,-5.72,0
2005 TM173,2013-2110,132,8.3e-07,8.67,24.1,0.051,-5.50,-6.31,0
2006 QN111,2079-2079,1,1.2e-06,10.55,23.8,0.060,-5.50,0
2010 GH7,2099-2111,29,1.2e-04,5.05,27.3,0.012,-5.51,-5.97,0
2002 TY59,2084-2110,2,1.2e-05,8.24,25.4,0.028,-5.52,-5.53,0
2010 TW149,2062-2107,43,9.1e-06,17.05,25.9,0.023,-5.53,-6.04,0
2004 ME6,2017-2109,49,1.4e-07,11.90,22.6,0.101,-5.53,-6.33,0
2012 BU1,2071-2112,23,1.3e-04,8.96,27.7,0.010,-5.53,-6.04,0
2008 VS4,2013-2110,262,6.8e-07,7.02,24.2,0.050,-5.53,-6.36,0
2012 HG2,2053-2057,10,3.8e-05,3.31,27.0,0.014,-5.53,-5.89,0
2007 UO6,2031-2096,11,1.9e-05,11.71,27.3,0.012,-5.53,-5.81,0
2004 VM24,2069-2098,11,8.3e-06,12.86,25.7,0.025,-5.53,-5.92,0
2010 DG77,2023-2111,144,1.5e-06,2.39,24.5,0.044,-5.54,-6.23,0
2006 CD,2015-2092,45,1.3e-08,11.12,21.0,0.211,-5.54,-6.09,0
2008 ST,2078-2101,7,7.0e-05,3.24,27.1,0.013,-5.54,-5.64,0
2011 AK37,2097-2097,1,5.8e-06,11.87,25.2,0.031,-5.55,0
2012 VS76,2080-2107,10,3.3e-05,11.44,26.9,0.014,-5.55,-5.64,0
2012 WS3,2082-2112,32,1.7e-05,8.78,25.9,0.022,-5.55,-6.49,0
2006 BC8,2080-2111,17,4.9e-06,13.18,25.1,0.032,-5.56,-6.21,0
2011 MX,2059-2092,21,3.0e-05,12.22,26.9,0.014,-5.58,-5.89,0
2010 JA43,2014-2109,41,1.4e-08,15.27,21.6,0.160,-5.58,-5.91,0
2010 MZ112,2029-2111,149,2.1e-06,2.03,25.1,0.035,-5.59,-6.62,0
2011 BU59,2075-2106,14,1.7e-05,11.36,26.2,0.020,-5.59,-5.66,0
2005 AU3,2081-2111,25,1.1e-05,14.41,26.0,0.022,-5.59,-6.35,0
2009 FG,2022-2108,22,6.4e-06,9.12,25.5,0.027,-5.60,-5.99,0
2011 BG10,2051-2074,4,8.3e-06,12.30,26.3,0.019,-5.60,-5.85,0
2009 OW6,2080-2080,1,6.9e-06,6.67,25.3,0.029,-5.60,0
2011 EB,2070-2077,3,2.9e-05,10.31,26.9,0.014,-5.61,-5.70,0
2008 LG2,2070-2108,14,7.0e-06,4.67,25.2,0.030,-5.62,-6.11,0
2008 CT1,2030-2111,106,5.3e-05,13.68,27.6,0.010,-5.63,-6.08,0
2008 EM68,2013-2110,566,4.8e-06,16.67,27.5,0.010,-5.65,-6.28,0
2009 WR52,2031-2110,56,1.4e-04,5.41,28.3,0.007,-5.66,-5.87,0
2007 EV,2088-2104,5,3.9e-06,10.58,25.0,0.033,-5.71,-5.88,0
2007 HB15,2055-2107,26,5.6e-05,6.34,27.8,0.009,-5.73,-5.80,0
2010 UY7,2066-2110,40,2.5e-04,3.87,28.5,0.007,-5.74,-6.14,0
2012 DJ54,2068-2112,25,1.8e-04,5.43,28.5,0.007,-5.75,-5.99,0
2007 XZ9,2056-2089,4,1.5e-06,13.02,24.8,0.037,-5.76,-5.91,0
2012 VJ38,2031-2111,24,9.8e-05,4.46,28.5,0.007,-5.77,-6.00,0
2005 SO1,2110-2110,7,5.1e-06,12.03,25.4,0.028,-5.78,-6.19,0
2012 BL14,2023-2111,129,1.4e-05,19.94,28.2,0.008,-5.79,-6.16,0
2007 UN12,2073-2109,32,3.0e-04,1.57,28.7,0.006,-5.81,-6.52,0
1998 SH2,2097-2097,1,1.8e-08,17.99,20.9,0.230,-5.81,0
2007 EO88,2073-2111,9,1.4e-05,10.96,26.4,0.018,-5.82,-6.25,0
2009 VA,2025-2035,4,3.0e-05,8.24,28.6,0.006,-5.82,0
2009 CZ1,2058-2074,2,5.2e-07,17.80,24.4,0.044,-5.83,-5.96,0
2006 HX57,2045-2092,4,2.2e-06,10.53,25.2,0.031,-5.83,-5.85,0
2012 LJ,2068-2072,2,2.1e-06,18.68,25.6,0.026,-5.83,0
2011 BF40,2083-2083,1,1.1e-06,18.50,24.8,0.037,-5.84,0
2010 EN44,2015-2110,26,2.0e-07,2.38,26.7,0.018,-5.84,-5.97,0
2010 JL88,2057-2086,18,1.1e-05,14.87,26.8,0.015,-5.85,-6.18,0
2009 WM1,2091-2091,1,1.2e-08,14.18,20.4,0.280,-5.86,0
2011 CL50,2036-2111,73,6.0e-05,3.50,27.6,0.010,-5.86,-6.80,0
2012 BK14,2020-2103,528,4.5e-05,3.73,28.0,0.009,-5.87,-6.91,0
2005 NX55,2014-2065,15,2.8e-09,25.05,21.9,0.141,-5.88,-6.33,0
2010 UJ,2025-2093,54,5.0e-06,2.65,26.2,0.019,-5.89,-6.18,0
2009 TU,2086-2095,5,2.0e-05,15.15,27.4,0.011,-5.90,-6.34,0
2010 HS20,2057-2057,1,2.3e-07,8.48,23.3,0.073,-5.91,0
2012 TV,2070-2107,8,1.4e-06,16.67,25.2,0.031,-5.91,-6.35,0
2011 DV10,2093-2093,1,1.1e-06,16.27,24.8,0.038,-5.92,0
2012 VU76,2074-2109,2,7.2e-06,4.91,25.6,0.025,-5.92,-5.93,0
2006 WZ184,2071-2109,24,9.5e-06,7.27,26.1,0.021,-5.92,-6.72,0
2007 TL16,2074-2095,12,7.1e-06,11.42,26.2,0.019,-5.93,-6.14,0
2001 SB170,2089-2095,2,5.6e-08,22.49,22.4,0.110,-5.93,-6.20,0
2011 AY22,2051-2109,23,1.9e-05,12.99,27.1,0.013,-5.93,-6.59,0
2007 YM,2020-2109,113,3.7e-06,8.22,26.2,0.020,-5.94,-6.80,0
2010 XR,2013-2013,1,2.0e-07,19.95,26.8,0.015,-5.95,0
2012 PK24,2051-2059,4,2.1e-07,11.62,23.6,0.063,-5.95,-6.31,0
2011 WN69,2058-2109,6,4.0e-06,23.07,26.2,0.019,-5.95,-6.19,0
2011 DS,2074-2109,18,2.1e-05,6.54,27.0,0.013,-5.97,-6.22,0
2007 UD6,2058-2102,64,7.9e-05,5.98,28.3,0.007,-5.98,-6.87,0
2009 JL2,2057-2085,5,3.5e-06,12.83,26.0,0.022,-5.99,-6.39,0
2008 EV84,2041-2106,2,7.7e-07,12.94,25.3,0.029,-6.03,0
2002 UV36,2087-2087,1,1.2e-05,8.06,26.7,0.016,-6.03,0
2001 UD5,2107-2107,1,6.7e-08,16.73,22.4,0.110,-6.04,0
2011 KF36,2022-2106,8,1.2e-09,22.32,20.4,0.280,-6.04,-6.66,0
2006 WV29,2036-2110,14,4.0e-06,16.81,26.5,0.017,-6.08,-6.75,0
2008 DA4,2091-2100,2,4.5e-07,11.12,23.9,0.056,-6.08,-6.24,0
2009 HC,2095-2111,3,1.8e-06,3.74,24.8,0.038,-6.10,-6.21,0
2012 CL17,2095-2112,22,1.7e-06,21.49,25.7,0.024,-6.10,-6.66,0
2005 TH50,2031-2094,21,3.3e-05,4.92,28.0,0.009,-6.10,-6.55,0
2010 VO139,2022-2110,118,2.3e-06,20.81,26.5,0.017,-6.11,-7.11,0
2011 CF66,2013-2111,538,1.4e-05,11.16,27.6,0.010,-6.11,-7.08,0
2004 VZ14,2076-2107,2,1.3e-06,15.25,25.3,0.030,-6.12,-6.36,0
2012 XM16,2081-2107,2,2.4e-06,12.69,25.8,0.024,-6.12,-6.17,0
2009 HW67,2046-2079,4,1.5e-06,22.66,26.1,0.020,-6.13,-6.28,0
2008 PK9,2045-2057,3,2.4e-08,27.42,23.1,0.081,-6.14,-6.27,0
2011 FQ6,2053-2104,24,1.9e-05,10.49,27.7,0.010,-6.17,-6.28,0
2005 VL1,2031-2057,16,5.0e-06,6.45,26.7,0.015,-6.17,-6.43,0
2007 FY20,2085-2101,8,1.1e-06,9.70,24.8,0.037,-6.17,-6.45,0
