2005ED224,67.0*,2023-03-11 08:24,1/625000,-4.52,0,27.08,2897
2010UK,18.0*,2068-10-15 10:16,1/2577,-4.53,0,12.73,855
2005BS1,15.0*,2016-01-14 10:03,1/13386,-4.55,0,16.66,2954
2012MF7,18.0*,2046-06-21 21:10,1/5813,-4.57,0,14.16,239
2010CA,54.0*,2022-08-07 07:29,1/342465,-4.58,0,18.47,1110
2012VE77,23.0*,2033-11-17 12:49,1/29850,-4.6,0,18.97,99
2007DX40,50.0*,2062-08-18 21:01,1/81967,-4.66,0,19.17,2188
2012HG2,17.0*,2071-02-10 04:06,1/3378,-4.78,0,11.66,304
2006DM63,19.0*,2031-02-24 05:50,1/17331,-4.81,0,15.25,2547
2011VG9,150.0*,2086-11-01 17:34,1/2.18E6,-4.83,0,27.09,461
2001BB16,130.0*,2084-01-16 05:07,1/342465,-4.83,0,11.75,4351
2012ES10,76.0*,2065-03-05 06:29,1/574712,-4.84,0,26.29,340
2008FF5,100.0*,2060-03-27 18:06,1/2.36E6,-4.84,0,41.02,1789
2006JY26,9.0*,2074-05-03 00:48,1/724,-4.84,0,11.57,2479
2008HJ,30.0*,2081-05-02 12:33,1/15576,-4.85,0,13.48,1761
2011BL45,15.0*,2071-08-01 13:19,1/3731,-4.86,0,11.31,672
2007KE4,39.0*,2029-05-26 00:43,1/125470,-4.89,0,15.03,2098
2010CR5,450.0*,2075-12-17 05:28,1/4.61E7,-4.92,0,27.59,1104
2010JH80,52.0*,2082-05-05 10:45,1/261780,-4.93,0,29.13,1012
2008EZ84,25.0*,2072-03-09 18:00,1/14598,-4.95,0,13.7,1803
2010XA68,190.0*,2037-06-04 22:12,1/2.45E7,-5.02,0,33.85,672
2001AV43,55.0*,2066-12-16 04:47,1/91743,-5.03,0,11.78,4375
2011SO189,21.0*,2056-09-24 11:51,1/27855,-5.07,0,17.2,508
2012VJ38,9.0*,2031-11-15 10:48,1/4219,-5.07,0,12.03,102
2010QG2,60.0*,2051-09-05 09:16,1/384615,-5.1,0,17.06,902
2001GP2,18.0*,2063-10-07 00:17,1/7751,-5.13,0,11.47,4304
2008TE,12.0*,2023-09-25 11:07,1/25125,-5.16,0,16.28,1601
2007VE8,34.0*,2062-11-06 02:46,1/67114,-5.16,0,14.39,1933
2005XA8,31.0*,2076-12-05 17:43,1/57142,-5.2,0,16.47,2631
2009TD17,12.0*,2039-05-08 11:37,1/9900,-5.22,0,12.74,1217
2011YV62,260.0*,2078-05-24 12:23,1/1.59E7,-5.22,0,21.36,414
2012DW60,21.0*,2089-03-13 10:11,1/15527,-5.25,0,12.41,355
2012BA77,28.0*,2037-10-09 20:17,1/147710,-5.25,0,16.99,389
2011EB74,18.0*,2074-03-16 20:02,1/22779,-5.25,0,13.82,672
1994GK,60.0*,2073-04-03 03:03,1/355871,-5.26,0,18.77,6891
2009BR5,160.0*,2078-07-19 06:37,1/5.18E6,-5.28,0,21.17,1490
2002VU17,47.0*,2084-11-16 21:27,1/174216,-5.28,0,17.66,3730
2005EL70,66.0*,2034-03-05 23:23,1/3.62E6,-5.3,0,37.25,2903
2006HF6,54.0*,2070-04-19 01:51,1/396825,-5.31,0,19.85,2496
2011ES4,31.0*,2055-09-02 17:14,1/85470,-5.33,0,13.58,672
2010KV7,26.0*,2034-05-21 06:29,1/95238,-5.35,0,12.39,1006
2009WP6,19.0*,2074-11-16 09:59,1/57142,-5.35,0,27.7,1188
2002MN,91.0*,2071-06-15 16:02,1/961538,-5.36,0,15.25,3848
2012SY49,29.0*,2048-09-28 18:27,1/171526,-5.37,0,19.23,149
