1019551999RQ36,200.0,2182-09-24 22:20,1/3623,-1.52,n/a,12.86,1489
2007VK184,170.0,2048-06-03 02:08,1/1801,-1.61,1,19.21,1924
2009FD,160.0,2185-03-29 18:06,1/694,-1.9,n/a,19.39,819
2013BP73,390.0,2093-12-11 13:58,1/104493,-2.65,0,23.51,21
2008CK70,38.0,2030-02-14 15:56,1/2762,-3.07,0,18.94,1835
2010RF12,9.0,2095-09-05 23:50,1/11,-3.11,0,12.29,897
1979XB,830.0,2056-12-12 21:39,1/3.7e6,-3.23,0,27.54,12120
2010MZ112,470.0,2041-02-17 04:52,1/552486,-3.27,0,11.31,956
2000SG344,46.0,2071-09-16 00:58,1/1013,-3.31,0,11.27,4522
99942 Apophis,270.0,2068-04-12 15:22,1/188679,-3.33,0,12.59,2980
2008UB7,71.0,2060-10-31 19:06,1/12180,-3.36,0,21.57,1575
2011BT15,190.0,2080-01-05 09:55,1/55248,-3.44,0,13.14,671
2010DG77,190.0,2047-01-12 04:39,1/97087,-3.44,0,11.49,1077
2009JF1,16.0,2022-05-06 08:12,1/3067,-3.59,0,26.41,1385
2008JL3,37.0,2027-05-01 09:06,1/11001,-3.87,0,14.01,1749
2007UW1,120.0,2080-10-18 03:35,1/44247,-3.89,0,12.13,1949
2011UZ255,93.0,2072-10-24 19:48,1/49999,-3.91,0,17.38,476
2008UV99,490.0,2019-03-30 07:58,1/2.07e7,-3.94,0,19.2,1562
2011XC2,110.0,2056-12-02 09:55,1/176678,-3.96,0,23.57,436
2009Be,25.0,2083-01-25 02:21,1/2145,-4.05,0,16.01,1493
2007RY19,140.0,2080-03-12 17:41,1/109649,-4.06,0,14.64,1983
2005QK76,39.0,2030-02-26 08:15,1/33222,-4.07,0,22.66,2728
2008CC71,45.0,2066-02-27 12:16,1/9433,-4.09,0,13.81,1834
1994WR12,140.0,2078-11-24 16:26,1/137551,-4.14,0,14.9,6625
2012QD8,100.0,2047-03-08 23:20,1/326797,-4.17,0,23.58,185
2002TX55,77.0,2089-10-02 01:06,1/33898,-4.17,0,15.1,3766
2007FT3,420.0,2024-10-02 21:55,1/1.66e7,-4.2,0,20.22,2161
2011PU1,40.0,2084-07-24 12:53,1/7812,-4.28,0,12.43,560
2010WC9,86.0,2027-05-15 23:59,1/370370,-4.31,0,16.93,810
2008eX5,73.0,2072-10-09 00:36,1/52910,-4.32,0,14.95,1811
2010AU118,1200.0,2015-10-19 11:44,1/1.28e9,-4.36,0,28.02,998
2000SB45,57.0,2080-10-08 05:43,1/23809,-4.39,0,13.48,4526
2010XA73,620.0,2013-07-12 10:39,1/1.26e9,-4.5,0,18.87,671
2011DU9,19.0,2046-02-23 20:44,1/5988,-4.52,0,14.21,671
2005eD224,67.0,2023-03-11 08:24,1/625000,-4.52,0,27.08,2896
2010UK,18.0,2068-10-15 10:16,1/2577,-4.53,0,12.73,854
2005BS1,15.0,2016-01-14 10:03,1/13386,-4.55,0,16.66,2953
2012MF7,18.0,2046-06-21 21:10,1/5813,-4.57,0,14.16,238
2010CA,54.0,2022-08-07 07:29,1/342465,-4.58,0,18.47,1109
2012Ve77,23.0,2033-11-17 12:49,1/29850,-4.6,0,18.97,98
2007DX40,50.0,2062-08-18 21:01,1/81967,-4.66,0,19.17,2187
2012HG2,17.0,2071-02-10 04:06,1/3378,-4.78,0,11.66,303
2006DM63,19.0,2031-02-24 05:50,1/17331,-4.81,0,15.25,2546
2011VG9,150.0,2086-11-01 17:34,1/2.18e6,-4.83,0,27.09,460
2001BB16,130.0,2084-01-16 05:07,1/342465,-4.83,0,11.75,4350
2012eS10,76.0,2065-03-05 06:29,1/574712,-4.84,0,26.29,339
2008FF5,100.0,2060-03-27 18:06,1/2.36e6,-4.84,0,41.02,1788
2006JY26,9.0,2074-05-03 00:48,1/724,-4.84,0,11.57,2478
2008HJ,30.0,2081-05-02 12:33,1/15576,-4.85,0,13.48,1760
2011BL45,15.0,2071-08-01 13:19,1/3731,-4.86,0,11.31,671
2007Ke4,39.0,2029-05-26 00:43,1/125470,-4.89,0,15.03,2097
2010CR5,450.0,2075-12-17 05:28,1/4.61e7,-4.92,0,27.59,1103
2010JH80,52.0,2082-05-05 10:45,1/261780,-4.93,0,29.13,1011
2008eZ84,25.0,2072-03-09 18:00,1/14598,-4.95,0,13.7,1802
2010XA68,190.0,2037-06-04 22:12,1/2.45e7,-5.02,0,33.85,671
2001AV43,55.0,2066-12-16 04:47,1/91743,-5.03,0,11.78,4374
2011SO189,21.0,2056-09-24 11:51,1/27855,-5.07,0,17.2,507
2012VJ38,9.0,2031-11-15 10:48,1/4219,-5.07,0,12.03,101
2010QG2,60.0,2051-09-05 09:16,1/384615,-5.1,0,17.06,901
2001GP2,18.0,2063-10-07 00:17,1/7751,-5.13,0,11.47,4303
2008Te,12.0,2023-09-25 11:07,1/25125,-5.16,0,16.28,1600
2007Ve8,34.0,2062-11-06 02:46,1/67114,-5.16,0,14.39,1932
2005XA8,31.0,2076-12-05 17:43,1/57142,-5.2,0,16.47,2630
2009TD17,12.0,2039-05-08 11:37,1/9900,-5.22,0,12.74,1216
2011YV62,260.0,2078-05-24 12:23,1/1.59e7,-5.22,0,21.36,413
2012DW60,21.0,2089-03-13 10:11,1/15527,-5.25,0,12.41,354
2012BA77,28.0,2037-10-09 20:17,1/147710,-5.25,0,16.99,388
2011eB74,18.0,2074-03-16 20:02,1/22779,-5.25,0,13.82,671
1994GK,60.0,2073-04-03 03:03,1/355871,-5.26,0,18.77,6890
2009BR5,160.0,2078-07-19 06:37,1/5.18e6,-5.28,0,21.17,1489
2002VU17,47.0,2084-11-16 21:27,1/174216,-5.28,0,17.66,3729
